plugin_name,etiket
AbsoluteValue,ABSVAL
AddElementsByPoint,ADDEPT
AddElementsVertically,ADDEVY
AddToElements,ADDTOE
AirDensity,AIRDEN
ArithmeticMeanByPoint,MEANPT
ArithmeticMeanElementsVertically,MEANVY
ArithmeticMinMaxByPoint,AMNMXP
BaseTopBoundedLevelIndex,BTBLI_
BinaryOperations,BINOPS
BulletinFBPreparation,BULLFB
ConvectiveEnergies,CNVEGY
CoriolisParameter,CORIOP
DewPointDepression,DEWPTD
DivideElementsByPoint,DVDEPT
DivideElementsVertically,DVDEVY
EnergyMeanIsothermMethod,EGYISO
FilterDigital,FLTRDG
FreezingLevel,FRZLVL
GeorgeKIndex,GEORKI
GetDictionaryInformation,GDICTI
GridPointDifference,GPTDIF
GridPointDistance,GPTDIS
Humidex,HUMIDX
HumidityRelative,HUMREL
HumidityRelativeWeightedMean,HRWAVG
HumiditySpecific,HUMSPF
InterpolatedHeight,INTERPHEIGHT
InterpolationHorizontalGrid,INTHRZNTLGRD
InterpolationHorizontalPoint,INTHPT
KernelDensityEstimation,KDE
LevelOfCondensationByLifting,LCONDL
LevelOfFreeConvectionAndEquilibrium,LFCEQL
LiftedIndex,LIFTDI
MatchLevelIndexToValue,MLIVAL
MinMaxBoundedLevelIndex,MMBDLI
MinMaxLevelIndex,MMLVLI
MultiplyElementBy,MULEBY
MultiplyElementsByPoint,MULEPT
MultiplyElementsVertically,MULEVY
ParcelMeanLayer,MLPRCL
ParcelMostUnstable,MUPRCL
PowerElementsByPoint,POWEPT
PrecipitableWaterAmount,PCPWT
PrecipitationAmount,PCPAMT
PrecipitationTypeDominant,PCPTDO
PrecipitationTypeInstantaneousBourgouin,PCPTBG
PrecipitationTypeSignificant,PCPTSI
Pressure,PRESSR
PressureFromLevel,PRESFL
PressureOnConstantPotentialVorticity,PRSPVU
PressureOnIsopleth,PRSISO
QuatrePanneaux,4PANEL
SaturationVapourPressure,SVPRES
SetConstantValue,SETVAL
SetLowerBoundary,SETLWR
SetUpperBoundary,SETUPR
SlopeIndex,SLOPEI
SubtractElementsByPoint,SUBEPT
SubtractElementsVertically,SUBEVY
SupercooledLiquideWaterContent,SLWATC
SweatIndex,SWEATI
TemperatureAlongPseudoadiabat,TTPSAD
TemperatureDewPoint,DEWPTT
TemperatureOfLiftedParcel,TTLPCL
TemperaturePotential,PTNLTT
TemperatureVirtual,VIRTTT
TemperatureWetBulb,WETBTT
TemperatureWetBulbPotential,WBPOTT
Thickness,THCKNS
TimeIntervalDifference,TMIDIF
TimeIntervalMinMax,TIMNMX
TotalTotalsIndex,TOTALI
VapourPressure,VAPRES
VectorModulusAndDirection,VECMAD
VerticalScan,VTSCAN
VorticityAbsolute,VORTAB
VorticityPotential,VORTPO
WaterVapourMixingRatio,WVMXRT
WindChill,WNDCHL
WindComponents,WNDCPN
WindDeformation,WINDDEF
WindModulus,WNDMOD
WindModulusAndDirection,WNDMAD
WindTurbulenceDVSI,WNDVSI
WindVerticalShear,WNDVSH