stationintlid, stationalphaid, canregcode, stationname, latdecdeg, latitudecardinaldirection, londecdeg, longitudecardinaldirection, stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag, fictivestationflag, unknown
'-1','VBI',NULL,'SIOUX NARROWS, ONT',4948,'N',26595,'E',NULL,411,NULL,NULL,'0','W3'
'-2','YMV',NULL,'MANICOUAGAN, QUEBEC',5066,'N',29117,'E',NULL,406,NULL,NULL,'0','M10'
'-3','YNI',NULL,'NITCHEQUON, QUEBEC',5320,'N',28910,'E',NULL,536,NULL,NULL,'0','M12'
'-4','YTF',NULL,'ALMA, QUEBEC',4850,'N',28864,'E',NULL,136,NULL,NULL,'0','M5'
'-6','YIF',NULL,'ST-AUGUSTIN, QUEBEC',5180,'N',30165,'E',NULL,6,NULL,NULL,'0','G5'
'-7','YEA',NULL,'EMPRESS, ALBERTA',5091,'N',24990,'E',NULL,549,NULL,NULL,'0','E3'
'-8','YIX',NULL,'PORT RADIUM, NWT',6610,'N',24197,'E',NULL,191,NULL,NULL,'0','A30'
'-9','YFN',NULL,'CREE LAKE, SASK',5735,'N',25283,'E',NULL,499,NULL,NULL,'0','R12'
'-27','WUI',NULL,'5200N 10100W',5200,'N',25900,'E',NULL,91,NULL,NULL,'1','W7'
'-28','WUC',NULL,'5500N 09500W',5500,'N',26500,'E',NULL,183,NULL,NULL,'1','W17'
'-29','WUD',NULL,'6000N 08500W',6000,'N',27500,'E',NULL,0,NULL,NULL,'1','A26'
'-30','WUB',NULL,'6500N 10500W',6500,'N',25500,'E',NULL,302,NULL,NULL,'1','A23'
'-31','WUE',NULL,'5500N 08500W',5500,'N',27500,'E',NULL,30,NULL,NULL,'1','T6'
'-32','WKZ',NULL,'5700N 08900W',5700,'N',27100,'E',NULL,0,NULL,NULL,'1','W22'
'-33','WKJ',NULL,'6300N 10700W',6300,'N',25300,'E',NULL,381,NULL,NULL,'1','A22'
'-34','WLR',NULL,'6100N 08000W',6100,'N',28000,'E',NULL,0,NULL,NULL,'1','A25'
'-35','XUH',NULL,'4800N 07500W',4800,'N',28500,'E',NULL,305,NULL,NULL,'1','M4'
'-36','WUF',NULL,'5100N 07500W',5100,'N',28500,'E',NULL,366,NULL,NULL,'1','M8'
'-37','WUG',NULL,'5700N 07300W',5700,'N',28700,'E',NULL,152,NULL,NULL,'1','M14'
'-38','WFA',NULL,'6200N 05600W',6200,'N',30400,'E',NULL,0,NULL,NULL,'1','(G12)'
'-39','WUA',NULL,'7300N 11000W',7300,'N',25000,'E',NULL,0,NULL,NULL,'1','A36'
'-40','WFB',NULL,'7200N 06200W',7200,'N',29800,'E',NULL,0,NULL,NULL,'1','A36'
'-41','WFC',NULL,'6600N 05400W',6600,'N',30600,'E',NULL,0,NULL,NULL,'1','(A35)'
'-42','XCN',NULL,'7630N 06850W',7650,'N',29117,'E',NULL,161,NULL,NULL,'1','(A41)'
'-43','WPM',NULL,'4700N 04900W',4700,'N',31100,'E',NULL,0,NULL,NULL,'1','G8'
'-44','WJQ',NULL,'7600N 14000W',7600,'N',22000,'E',NULL,0,NULL,NULL,'1','A28'
'-45','WLL',NULL,'8200N 14000W',8200,'N',22000,'E',NULL,0,NULL,NULL,'1','A28'
'-46','XBT',NULL,'8400N 10000W',8400,'N',26000,'E',NULL,0,NULL,NULL,'1','A28'
'-47','XDJ',NULL,'8900N 14000W',8900,'N',22000,'E',NULL,0,NULL,NULL,'1','A28'
'-48','WKQ',NULL,'8500N 07000W',8500,'N',29000,'E',NULL,0,NULL,NULL,'1','A28'
'-49','WRS',NULL,'7800N 13000W',7800,'N',23000,'E',NULL,0,NULL,NULL,'1','A28'
'-50','WDG',NULL,'8000N 11500W',8000,'N',24500,'E',NULL,0,NULL,NULL,'1','A28'
'-51','WCM',NULL,'7000N 11500W',7000,'N',24500,'E',NULL,258,NULL,NULL,'1','A28'
'-52','WCK',NULL,'7400N 13500W',7400,'N',22500,'E',NULL,0,NULL,NULL,'1','A28'
'-53','WFK',NULL,'8900N 07500W',8900,'N',28500,'E',NULL,0,NULL,NULL,'1','A28'
'-54','XDH',NULL,'7430N 08230W',7450,'N',27750,'E',NULL,0,NULL,NULL,'1','A28'
'-55','XAA',NULL,'8500N 14000W',8500,'N',22000,'E',NULL,0,NULL,NULL,'1','A28'
'-56','XAB',NULL,'8500N 12000W',8500,'N',24000,'E',NULL,0,NULL,NULL,'1','A28'
'-57','XAD',NULL,'8500N 09000W',8500,'N',27000,'E',NULL,0,NULL,NULL,'1','A28'
'-58','XAE',NULL,'8500N 06000W',8500,'N',30000,'E',NULL,0,NULL,NULL,'1','A28'
'-59','XBA',NULL,'8000N 14000W',8000,'N',22000,'E',NULL,0,NULL,NULL,'1','A28'
'-60','XBB',NULL,'8000N 12000W',8000,'N',24000,'E',NULL,0,NULL,NULL,'1','A28'
'-61','XBM',NULL,'8000N 10000W',8000,'N',26000,'E',NULL,1,NULL,NULL,'1','A28'
'-62','XBS',NULL,'8000N 06000W',8000,'N',30000,'E',NULL,312,NULL,NULL,'1','A28'
'-63','XCB',NULL,'7730N 13000W',7750,'N',23000,'E',NULL,0,NULL,NULL,'1','A28'
'-64','XCC',NULL,'7730N 11000W',7750,'N',25000,'E',NULL,0,NULL,NULL,'1','A28'
'-65','XCE',NULL,'7730N 09000W',7750,'N',27000,'E',NULL,20,NULL,NULL,'1','A28'
'-66','XCF',NULL,'7730N 07500W',7750,'N',28500,'E',NULL,0,NULL,NULL,'1','A28'
'-67','XDA',NULL,'7500N 14000W',7500,'N',22000,'E',NULL,0,NULL,NULL,'1','A28'
'-68','XDB',NULL,'7500N 13000W',7500,'N',23000,'E',NULL,0,NULL,NULL,'1','A28'
'-69','XDC',NULL,'7500N 12000W',7500,'N',24000,'E',NULL,0,NULL,NULL,'1','A28'
'-70','XDD',NULL,'7500N 11000W',7500,'N',25000,'E',NULL,143,NULL,NULL,'1','A28'
'-71','XDF',NULL,'7500N 07000W',7500,'N',29000,'E',NULL,0,NULL,NULL,'1','A28'
'-72','XEE',NULL,'7000N 14000W',7000,'N',22000,'E',NULL,0,NULL,NULL,'1','A28'
'-73','XEF',NULL,'7000N 13000W',7000,'N',23000,'E',NULL,1,NULL,NULL,'1','A28'
'-74','XEH',NULL,'7000N 12000W',7000,'N',24000,'E',NULL,0,NULL,NULL,'1','A28'
'-75','XEJ',NULL,'7000N 09000W',7000,'N',27000,'E',NULL,0,NULL,NULL,'1','A28'
'-76','XEK',NULL,'7000N 06000W',7000,'N',30000,'E',NULL,0,NULL,NULL,'1','A28'
'-77','WOP',NULL,'6700N 05000W',6700,'N',31000,'E',NULL,314,NULL,NULL,'1','A28'
'-78','WZJ',NULL,'8106N 07018W',8108,'N',28972,'E',NULL,1301,NULL,NULL,'1','A28'
'-79','WOM',NULL,'5800N 06000W',5800,'N',30000,'E',NULL,0,NULL,NULL,'1','A28'
'-80','WOX',NULL,'5900N 05000W',5900,'N',31000,'E',NULL,0,NULL,NULL,'1','A28'
'-81','WPV',NULL,'6700N 06000W',6700,'N',30000,'E',NULL,0,NULL,NULL,'1','A28'
