id, latitude, longitude, elevation, type, name, unknown1, no1, no2, unknown2, unknown3 , unknown4, unknown5, unknown6, unknown7, unknown8, unknown9, unknown10, unknown11, unknown12, provenance
'NO1',50.0,234.0,0,1,'50N       126W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO2',49.5,238.0,0,1,'49.5N     122W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO3',55.0,230.0,0,1,'55N       130W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO4',50.0,241.0,0,1,'50N       119W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO5',50.0,245.0,0,1,'50N       115W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO6',51.0,242.0,0,1,'51N       118W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO7',51.5,243.5,0,1,'51.5N     116.5N',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO8',53.0,240.0,0,1,'53N       120W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'NO9',55.0,237.0,0,1,'55N       123W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'BPP',55.4,237.367,0,1,'55d24N    122d38W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'BCR',52.717,240.533,0,1,'52d43N    119d28W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'BFL',52.033,241.5,0,1,'52d02N    118d30W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'BAR',51.617,242.0,0,1,'51d37N    118W00W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'BRP',51.3,242.483,0,1,'51d18N    117d31W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'BFE',49.5,244.933,0,1,'49d30N    115d04W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'
'BSS',49.05,242.95,0,1,'49d03N    117d03W',0,0,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/fx6stns'