nomvar,description_fr,description_en,unit
SDWD,Ecart-type-turbulence de la dir. du vent de sfc,Standard deviation-Sfc wind direction turbulence,degree
SDWS,Ecart-type-turbulence de vitesse du vent de sfc,Standard deviation-Sfc wind speed turbulence,meter_per_second
SE,Sommet de la couche limite (sigma),Top of the Boundary Layer (sigma),scalar
SF,Flux des precipitations solides,Solid Precipitation Flux,kilogram_per_squareMeter_per_second
SG,Acide sulphurique gaseux (H2SO4),Sulphuric Acid Gas (H2SO4),parts_per_billion
SH,Probabilité de précipitations (code de 0 a 15),Probability of Precipitation (code 0 to 15),scalar
SHRI,Deformation en cisaillement de la glace,Ice Shear Deformation,1/day
SI,Flux infrarouge net en surface,Net Infrared Flux at the Ground,watt_per_squareMeter
SI1I,Constrainte principale 1 normalisee,Normalized pricipal stress 1,scalar
SI2I,Constrainte principale 2 normalisee,Normalized pricipal stress 2,scalar
SIFI,Radiation Infrarouge vers le haut au sfc (Instantaneous),Upward IR Radiation at sfc (Instantaneous),watt_per_squareMeter
SIII,Pression interne de la glace integree sur la verticale(module),Vertically integrated ice internal pressure(modulus),newtonMeter
SK,Neige emmagasine sur la canope,Snow stored on Canopy,scalar
SL,Ion sulfite en solution (SO3),Sulphite Ion in Solution (SO3),parts_per_billion
SLQR,Rapport neige/eau (Dube),Snow-to-Liquid Ratio (Dube),percent
SLW,Contenu en eau a l''etat liquid en surfusion totale-microphysiques(Mil-Yau),Total supercooled liquid water content-microphysics(Mil-Yau),massDensity
SLWC,Contenu en eau a l''etat liquid en surfusion totale-microphysiques(Mil-Yau) des nuages uniquement,Total supercooled liquid water content-microphysics(Mil-Yau) in clouds only,massDensity
SLWR,Contenu en eau a l''etat liquid en surfusion totale-microphysiques(Mil-Yau) de la pluie et/ou grezil uniquement,Total supercooled liquid water content-microphysics(Mil-Yau) in rain/drizzle only,massDensity
SM,Masque terre-mer (12 mois) (QPF),Land-Sea Mask (12 months) (QPF),scalar
SN,Neige (QPF),Snow (QPF),meter
SN1,Cristaux de glace accumules (Mil-Yau),Accumulated ice crystals (Mil-Yau),meter
SN10,Accumulation de neige avec rapport classique de 10,Snowfall accumulation using classic 10:1 ratio,centimeter
SN2,Neige accumulee (Mil-Yau),Accumulated snow (Mil-Yau),meter
SN3,Neige roulee accumulee (Mil-Yau),Accumulated graupel (Mil-Yau),meter
SND,Neige fondant totale,Total Unmelted snow,meter
SNLR,Accumulation de neige avec rapport SLQR,Snow accumulation with SLQR ratio,meter
SO,Aérols de suie (soot(c)),Soot Aerosols (soot(c)),parts_per_billion
SP,Précipitations de petite échelle (QPF),Small Scale Precip (QPF),scalar
SQ,Période de l''onde,Swell Period,second
SR,Type de précipitation - neige-pluie,Precipitation Type - Snow-Rain,scalar
SS,Suie en suspension et en phase liquide (c),Soot Suspension in Liquid Phase (c),parts_per_billion
SS1X,sel de mer 2.5um,sea salt fine (2.5um),microgram_per_cubicMeter
SS2X,sel de mer 10um,sea salt coarse (10um),microgram_per_cubicMeter
SSH,Anomalie de la hauteur de la surface de l''eau,Water surface height anomaly,meter
ST,Hauteur des stations,Stations Height,meter
STGI,Resistance de la glace en compression integreee sur la verticale,Vertically integrated compressive ice strength,newtonMeter
SU1X,sulfate 2.5um,sulphate fine (2.5um),microgram_per_cubicMeter
SU2X,sulfate 10um,sulphate coarse (10um),microgram_per_cubicMeter
SV,Niveau sigma (vent geopotentiel),Sigma Level (Wind Geopotentiel),scalar
SVP,pression de vapeur saturante,Saturation vapour pressure,hectoPascal
SW,indice SWEAT,SWEAT index,scalar
SZ,Hauteur de l''onde,Swell Height,meter
T*,Température représentative d''un niveau,Representative Temperature at a given level,kelvin
T1,Température au sommet du nuage,Temperature at the Top of the Cloud,kelvin
T2,Taux de réchauffement du a la radiation solaire,Heating Rate due to Solar Radiation,kelvin_per_second
T3,Taux de réchauffement du a la chaleur latente de precipitation,Heating Rate due to latent heat of precipitation,kelvin_per_second
T4,Réchauffement convectif (Fritsch-Chappell),Convective Heating (Fritsch-Chappell),kelvin_per_second
T5,Température médiane 50% histogramme,Median Temperature 50% Histogram,kelvin
T6,Types de precipitation instantane RA/RS/ZR/IP/SN/NIL,Instantaneous Precipitation Types RA/RS/ZR/IP/SN/NIL,scalar
T7,Temperature minimale,Minimum Temperature,celsius
T8,Temperature maximale,Maximum Temperature,celsius
T9,Température 90% histogramme,Temperature 90% Histogram,kelvin
TA,Taux de réchauffement total dû à la chaleur latente de précipitation,Total Precipitation Latent Heating Rate,kelvin_per_second
TA2,C2 Alcane,C2 Alkene,microgram_per_kilogram
TA3,C3 Alcane,C3 Alkane,microgram_per_kilogram
TALD,acetaldehyde,acetaldehyde,microgram_per_kilogram
TAM1,ammonium 2.5um (ESPECES CAM),ammonium fine (2.5um) (CAM SPECIES),microgram_per_kilogram
TAM2,ammonium 10um (ESPECES CAM),ammonium coarse (10um) (CAM SPECIES),microgram_per_kilogram
TARO,Aromatique,Aromatic,microgram_per_kilogram
TB,Température moyenne 12 mois (QPF),Mean temperature 12 months (QPF),celsius
TBZO,phenoxy radical,phenoxy radical,microgram_per_kilogram
TC,Couverture totale de nuages (QPF),Total Clouds (QPF),scalar
TC38,propane,propane,microgram_per_kilogram
TCC,couverture nuageuse vraie (cccmarad),true cloud cover (cccmarad),scalar
TCM1,poussiere de sol 2.5um,crustal material/soil/dust fin (2.5um),microgram_per_kilogram
TCM2,poussiere de sol 10um,crustal material/soil/dust coarse (10um),microgram_per_kilogram
TCO,monoxyde de carbone,carbon monoxide,microgram_per_kilogram
TCR1,criegee radical #1,criegee radical #1,microgram_per_kilogram
TCR2,criegee radical #2,criegee radical #2,microgram_per_kilogram
TCRE,o-creosol,o-creosol,microgram_per_kilogram
TD,Température du point de rosée,Dew Point Temperature,celsius
TDI,Indice de diffusion de transport de l''eau,Water Transport Diffusion index,scalar
TDIA,dicarbonyle,general dicarbonyl,microgram_per_kilogram
TE,Température de surface (ECMWF),Surface Temperature (ECMWF),kelvin
TEC1,carbone elementaire 2.5um,elemental carbon fine (2.5um),microgram_per_kilogram
TEC2,carbone elementaire 10um,elemental carbon coarse (10um),microgram_per_kilogram
TEL,Température du NE,EL Temperature,celsius
TETH,Ethene,Ethene,microgram_per_kilogram
TF,Réchauffement par flux de surface,Surface Flux Heating,kelvin_per_second
TFC,Temperature du NCL,LFC temperature,celsius
TG,Température radiative agregée,Radiative Agregate Température,kelvin
TH,Température potentielle,Potential Temperature,kelvin
TH22,peroxyde hydrogene,hydrogen peroxide,microgram_per_kilogram
THCH,formaldehyde,formaldehyde,microgram_per_kilogram
THN3,acide nitrique,nitric acid,microgram_per_kilogram
THN4,acide peroxynitrique,pernitric acid,microgram_per_kilogram
THO2,hydroperoxyde radical,hydroperoxyl radical,microgram_per_kilogram
THON,acide nitreux,nitrous acid,microgram_per_kilogram
TI,Réchauffement infrarouge,Infrared Heating,kelvin_per_second
TISO,isoprene,isoprene,microgram_per_kilogram
TJ,Niveau Abri Temperature,Screen Level Temperature,kelvin
TK,Taux de réchauffement du a la precipitation convective,Convective Precipitation Latent Heating Rate,kelvin_per_second
TL,Réchauffement solaire,Solar Heating,kelvin_per_second
TLCL,temperature au NCA,LCL temperature,celsius
TM,Température de la mer,Sea Temperature,kelvin
TMASK,Geometrie de grille Arakawa(tmask),Arakawa grid geometry(tmask),scalar
TMC3,CH3CO3 radical,CH3CO3 radical,microgram_per_kilogram
TMEK,methyl ethyl cetone,methyl ethyl ketone,microgram_per_kilogram
TMGL,methyl glyoxal,methyl glyoxal,microgram_per_kilogram
TMI,Température de la glace,Ice Temperature,kelvin
TN,Type de précipitations - neige,Precipitation Type - Snow,scalar
TN25,pentoxyde azote,dinitrogen pentoxide,microgram_per_kilogram
TNH3,ammoniac,ammonia,microgram_per_kilogram
TNI1,nitrate 2.5um (ESPECES CAM),nitrate fine (2.5um) (CAM SPECIES),microgram_per_kilogram
TNI2,nitrate 10um (ESPECES CAM),nitrate coarse (10um)(CAM SPECIES),microgram_per_kilogram
TNO,Monoxyde azote,Nitrogen monoxide,microgram_per_kilogram
TNO2,dioxyde d''azote,nitrogen dioxide,microgram_per_kilogram
TNO3,acide nitrique,nitric acid,microgram_per_kilogram
TNOL,Temp. de l''air a 2m avant modification par tdiaglim=vrai,2 m air temperature before modification by tdiaglim=true,kelvin
TO,Réchauffement total,Total Warming,kelvin_per_second
TO1D,oxygene etat excite,excited-state oxygen,microgram_per_kilogram
TO3,ozone,ozone,microgram_per_kilogram
TO3P,oxygene etat fondamental,ground-state oxygen,microgram_per_kilogram
TOC1,carbone organique secondaire 2.5um,secondary organic carbon fine(2.5um),microgram_per_kilogram
TOC2,carbone organique secondaire 10um,secondary organic carbon coarse (10um),microgram_per_kilogram
TOH,radical hydroxyle,hydroxyl radical,microgram_per_kilogram
TP,Température profonde du sol,Deep Soil Temperature,celsius
TPAN,nitrate de peroxyacetyle,peroxyacetyl nitrate,microgram_per_kilogram
TPC1,carbone organique primaire 2.5um,primary organic carbon fine(2.5um),microgram_per_kilogram
TPC2,carbone organique primaire 10um,primary organic carbon coarse (10um),microgram_per_kilogram
TQ,Turbulence (nil:légère:modérée:forte),Turbulence (nil:light:moderate:strong),scalar
TR,Température profonde du sol (régional),Deep Soil Temperature (regional),celsius
TR22,general peroxyde organique #2,general organic peroxyl radical #2,microgram_per_kilogram
TR2N,alkyle nitrate formant peroxyde organique radical,alkyl nitrate forming organic peroxyl radical,microgram_per_kilogram
TR2R,general peroxyde organique #1,general organic peroxyl radical #1,microgram_per_kilogram
TRN3,alkyle nitrate,alkyl nitrate,microgram_per_kilogram
TRO2,RO2 radical total,total RO2 radicals,microgram_per_kilogram
TROO,peroxyde organique,organic peroxide,microgram_per_kilogram
TRS,Totale de gaz de soufre reduit,Total reduced sulphur gas,parts_per_billion
TS,Température de l''air à la surface,Air Temperature at Ground Level,celsius
TSO2,Dioxyde de soufre,Sulphur dioxide,microgram_per_kilogram
TSO4,Sulfate,Sulphate,microgram_per_kilogram
TSS1,sel de mer 2.5um,sea salt fine (2.5um),microgram_per_kilogram
TSS2,sel de mer 10um,sea salt coarse (10um),microgram_per_kilogram
TSU1,sulfate 2.5um,sulphate fine (2.5um),microgram_per_kilogram
TSU2,sulfate 10um,sulphate coarse (10um),microgram_per_kilogram
TT,Température de l''air,Air Temperature,celsius
TTI,TotalTotalsIndex indice TotalTotals,TotalTotalsIndex TotalTotals index,scalar
TTLP,Temperature de la parcelle soulevee,Temperature of lifted parcel,celsius
TTOL,Toluene,Toluene,microgram_per_kilogram
TTPS,Temperature le long de la pseudoadiabatique,Temperature along a pseudoadiabat,celsius
TTW,temperature du thermometre mouille,Wet bulb temperature,celsius
TU,Tendance de UU,UU Tendancy,meters_per_secondSquared
TV,Tendance de VV,VV Tendancy,meters_per_secondSquared
TVC,Temperature du NCL utilisant le temperature virtuelle,LFC temperature using virtual temperature,celsius
TVCL,Temperature virtuelle au NCA,Virtual temperatur at LCL,celsius
TVE,Temperature du NE utilisant le temperature virtuelle,EL temperature using virtual temperature,celsius
TVLP,Temperature virtuelle de la parcelle soulevee,Virtual Temperature of lifted parcel,celsius
TVPS,Temperature virtuelle le long de la pseudoadiabatique,Virtual Temperature along a pseudoadiabat,celsius
TW,Température potentielle du thermomètre mouillé,Potential Wet-bulb Temperature,celsius
TWA1,particle eau liee 2.5um(ESPECES CAM),particle bound water fine (2.5um) (CAM SPECIES),microgram_per_kilogram
TWA2,particle eau liee 10um (ESPECES CAM),particle bound water coarse (10um) (CAM SPECIES),microgram_per_kilogram
TWE,Temperature de l''eau,Water temperature,degree
TWMX,Température potentielle du thermomètre mouillé maximale,Maximum wet bulb potential temperature,celsius
TX,Température de surface TM (océan) et TP (terre),Surface Temperature TM (Ocean) and TP (Land),kelvin
TY,Type de précipitation (codé) (QPF),Precipitation type (coded) (QPF),scalar
TZ,Température vue par le satellite,Temperature as seen by Satellite,kelvin
U4,CAPE from convection scheme,CAPE selon le schéma de convection,specificEnergy
U9,Height of convective cloud base,Hauteur de la base des nuages convectifs,meter
UCN,EIC (CIN) de la parcelle la plus instable,Most unstable parcel CIN,specificEnergy
UCP,EPCD (CAPE) de la parcelle la plus instable,Most unstable parcel CAPE,specificEnergy
UD,Composante-U du vent (Niveau Abri),U component of wind (Screen Level),meter_per_second
UDWE,Composante geographique W-E du vent horizontal au niveau diag.,Diag. level true geographical W-E horizontal wind component,meter_per_second
UE,Vitesse de frottement U*,Friction Speed U*,meter_per_second
UH,Humidite specifique a T+DT,Specific humidity at T+DT,massDensity
ULI,indice de soulevement de la parcelle la plus instable,Lifted index of the most unstable parcel,kelvin
UMASK,Geometrie de grille Arakawa(umask),Arakawa grid geometry(umask),scalar
UNEL,Nombre de NE de la parcelle la plus instable,Most unstable parcel number of EL,scalar
UNFC,Nombre de NCL de la parcelle la plus instable,Most unstable parcel number of LFC,scalar
UNVC,Nombre de NCL utilisant VT de la parcelle la plus instable,Most unstable parcel number of LFC using VT,scalar
UNVE,Nombre de NE utilisant VT de la parcelle la plus instable,Most unstable parcel number of EL using VT,scalar
UP,Vitesse du vent a T+DT (selon l''axe des X),Wind Speed at T+DT along x axis,meter_per_second
UPCL,Pression au NCA de la parcelle la plus instable,LCL pressure most unstable parcel,hectoPascal
UPEL,Pression du NE de la parcelle la plus instable,Most Unstable Parcel pressure EL,hectoPascal
UPFC,Pression du NCL de la parcelle la plus instable,Most Unstable Parcel Pressure LFC,hectoPascal
UPVC,Pression du NCL de la parcelle la plus instable utilisant le temperature virtuelle,Most Unstable Parcel Pressure LFC using virtual temperature,hectoPascal
UPVE,Pression du NE de la parcelle la plus instable utilisant VT,Most Unstable Parcel pressure EL using virtuelle temperature,hectoPascal
US,Composante-U du vent au sol,U-Component of the Wind at Ground Level,meter_per_second
UT,Sommet de la couche de turbulence en haute altitude,Top of Turbulence Layer at High Altitude,foot
UT1,Les vents images intercale (u-composante),Staggered image winds (u-component),meter_per_second
UTAW,Composant X du stress atmospherique sur l''eau,X-componant of atmospheric stress on water,pascal
UTCL,Temperature au NCA de la parcelle la plus instable,LCL temperature most unstable parcel,celsius
UTEL,Temperature du NE de la parcelle la plus instable,Most Unstable Parcel Temperature EL,celsius
UTFC,Température du NCL de la parcelle la plus instable,Most unstable Parcel Temperature LFC,celsius
UTLP,Température de la parcelle soulevée pour la parcelle la plus instable,Most unstable parcel lifted parcel temperature,celsius
UTVC,Temperature du NCL de la parcelle la plus instable utilisant VT,Most unstable Parcel Temperature LFC using VT,celsius
UTVE,Temperature du NE de la parcelle la plus instable utilisant VT,Most Unstable Parcel Temperature EL using VT,celsius
UU,Composante U du vent (selon l''axe des X sur la grille),U-Component of the Wind (Along the grid X axis),knot
UUI,Composante X de la velocite de la glace,X-component of ice velocity,meter_per_second
UUN,Composante U du vent (selon l''axe des X sur la grille) par rapport au vrai nord,U-Component of the Wind (Along the grid X axis) in relation to true north,knot
UUW,Composante X de la velocite de l''eau,X-component of water velocity,meter_per_second
UUWE,Composante geographique W-E du vent horizontal,True geographical W-E horizontal wind component,meter_per_second
UV,Module du vent,Wind Modulus,knot
UVCL,Température virtuelle au NCA de la parcelle la plus instable,Most unstable parcel virtual temperature at the LCL,celsius
UVCN,EIC (CIN) utilisant VT de la parcelle la plus instable,Most unstable parcel CIN using VT,specificEnergy
UVCP,EPCD (CAPE) utilisant VT de la parcelle la plus instable,Most unstable parcel CAPE using VT,specificEnergy
UVLI,indice de soulevement de la parcel plus instbl utilisant VT,Lifted index of the most unstable parcel using VT,kelvin
UVLP,Température virtuelle de la parcelle soulevée pour la parcelle la plus instable,Most unstable parcel lifted parcel virtual temperature,celsius
UVMX,module du vent maximum sur une periode,Maximum wind modulus over a period,knot
UZCL,Hauteur du NCA de la parcelle la plus instable,LCL height of most unstable parcel,meter
UZEL,hauteur du NE de la parcelle la plus instable,Most Unstable Parcel height EL,meter
UZFC,hauteur du NCL de la parcelle la plus instable,Most Unstable Parcel Height LFC,meter
UZVC,hauteur du NCL de la parcelle la plus instable utilisant VT,Most Unstable Parcel Height LFC using virtual temperature,meter
UZVE,hauteur du NE de la parcelle la plus instable utilisant VT,Most Unstable Parcel height EL using virtuelle temperature,meter
V3,Variation locale de TB à PI PJ canal 3 GOES,Local TB Variation at PI PJ GOES Channel 3,kelvin
V4,Variation locale de TB à PI PJ canal 4 GOES,Local TB Variation at PI PJ GOES Channel 4,kelvin
VA,Aérosols de Vanadium (V+++),Vanadium Aerosols (V+++),parts_per_billion
VCIS,Vitesse de cisaillement,Shear velocity,meter_per_second
VCN,EIC (CIN) utilisant VT,CIN using VT,specificEnergy
VCP,EPCD (CAPE) utilisant VT,CAPE using VT,specificEnergy
VD,Composante-V du vent (Niveau Abri),V component of wind (Screen Level),meter_per_second
VDSN,Composante geographique S-N du vent horizontal au niveau diag.,Diag. level true geographical S-N horizontal wind component,meter_per_second
VE,Intensité visible (code de 0 a 15),Visible Intensity (code from 0 to 15),scalar
VF,Fraction de végétation,Vegetation Fraction,scalar
VG,Type de végétation,Vegetation Type,scalar
VI,Ion vanadium en solution (V+++),Vanadium Ion in Solution (V+++),parts_per_billion
VIN,Viscosite numerique,Numerical viscosity,pascalSecond
VIP,Viscosite physique,Physical viscosity,pascalSecond
VIS,Visibilite,Visibility,kilometer
VIS1,Visibilite a travers le brouillard liquide (Mil-Yau),Visibility through liquid fog (Mil-Yau),kilometer
VIS2,Visibilite a travers de la pluie (Mil-Yau),Visibility through rain (Mil-Yau),kilometer
VIS3,Visibilite a travers de la neige (Mil-Yau),Visibility through snow (Mil-Yau),kilometer
VL,Quantité d''eau liquide intégrée verticallement par radar,Radar Derived Vertically Integrated Liquid,kilogram_per_squareMeter
VLI,indice de soulevement utilisant la temperature virtuelle,Lifted index with virtual temperature,kelvin
VMASK,Geometrie de grille Arakawa(vmask),Arakawa grid geometry(vmask),scalar
VN,Coefficient de ventilation à TMIN,Ventilation Coefficient ventilation at TMIN,squareMeter_per_second
VNO,vitesse de dépôt de monoxyde d''azote,nitrogen monoxide deposition velocity,meter_per_second
VNO2,vitesse de dépôt de dioxyde d''azote,nitrogen dioxide deposition velocity,meter_per_second
VO,Composés organiques volatiles gaseux (VOC),Volatile Organic Compounds Gas (VOC),parts_per_billion
VO3,vitesse de dépôt d''ozone,ozone deposition velocity,meter_per_second
VP,Vitesse du vent a T+DT (selon l''axe des Y),Wind Speed at T+DT along y axis,meter_per_second
VPPR,pression de vapeur,Vapour pressure,hectoPascal
VS,Composante-V du vent au sol,V-Component of the Wind at Ground Level,meter_per_second
VT,Température virtuelle,Virtual Temperature,celsius
VT1,Les vents images intercale (v-composante),Staggered image winds (v-component),meter_per_second
VTAW,Composant Y du stress atmospherique sur l''eau,Y-componant of atmospheric stress on water,pascal
VV,Composante V du vent (selon l''axe des Y sur la grille),V-Component of the Wind (Along the grid Y axis),knot
VVI,Composante Y de la velocite de la glace,Y-component of ice velocity,meter_per_second
VVN,Composante V du vent (selon l''axe des Y sur la grille) par rapport au vrai nord,V-Component of the Wind (Along the grid Y axis) in relation to true north,knot
VVW,Composante Y de la velocite de l''eau,Y-component of water velocity,meter_per_second
VVWE,Composante geographique S-N du vent horizontal,True geographical S-N horizontal wind component,meter_per_second
VWA,indice showalter utilisant le temperature virtuelle,Showalter index using virtual temperature,kelvin
VX,Coefficient de ventilation a TMAX,Ventilation Coefficient at TMAX,squareMeter_per_second
VZ,Réflexion visible,Visible Reflection,scalar
W1,Chemin optique de l''eau (selon Rockel),Water Optical Path (According to Rockel),kilogram_per_squareMeter
W2,Chemin optique de la glace (selon Rockel),Ice Optical Path (According to Rockel),kilogram_per_squareMeter
W3,Épaisseur optique totale de l''eau,Water Total Optical Thickness,scalar
W4,Épaisseur optique totale de la glace,Ice Total Optical Thickness,scalar
W5,Température de brillance de vapeur d''eau,Brightness Water Vapor Temperature,kelvin
WA,indice SHOWALTER,SHOWALTER index,kelvin
WA1X,particle eau liee 2.5um (ESPECES CAM),particle bound water fine (2.5um) (CAM SPECIES),microgram_per_cubicMeter
WA2X,particle eau liee 10um (ESPECES CAM),particle bound water coarse (10um) (CAM SPECIES),microgram_per_cubicMeter
WB,Direction significative de l''onde,Significant Wave Direction,degree
WC,Facteur de refroidissement éolien,Wind Chill,watt_per_squareMeter
WD,Direction météorologique du vent,Meteorological Wind Direction,degree
WE,Mouvement vertical ETA,Vertical Motion ETA,inverseSecond
WG,Humidité de la surface du sol,Ground Level Moisture,scalar
WGE,Estimation des rafales de vent (de l''energie cinetique turbulente),Wind gust estimate from turbulent kinetic energy,meter_per_second
WGN,Minimum des rafales de vent (de l''energie cinetique turbulente),Wind gust minimum from turbulent kinetic energy,meter_per_second
WGX,Maximum des rafales de vent (de l''energie cinetique turbulente),Wind gust maximum from turbulent kinetic energy,meter_per_second
WH,Hauteur de l''onde significative,Significant Wave Height,meter
WP,Mouvement vertical isobarique,Isobaric Vertical Motion,pascal_per_second
WQ,Periode de hauteur maximale de la mer,Sea Peak Period,second
WR,Humidité profonde du sol,Deep Ground Moisture,scalar
WS,Mouvement vertical - coordonnée sigma,SIGMA Coordinate Vertical Motion,inverseSecond
WSPD,module du vent horizontal,Horizontal wind modulus,meter_per_second
WT1,Mouvement vertical du modele actual,Actual Model Vertical Velocity,meter_per_second
WU,Composante est de l''onde significative,Eastward Significant Wave Component,meter
WV,Composante nord de l''onde significative,Northward Significant Wave Component,meter
WVDR,Direction de la vitesse d''ecoulement,Water velocity direction,degree
WVMD,Module de la vitesse d''ecoulement,Water velocity modulus,meter_per_second
WVX,Vitesse de l''ecoulement en X,Water velocity in X,meter_per_second
WVY,Vitesse de l''ecoulement en Y,Water velocity in Y,meter_per_second
WW,Mouvement vertical,Vertical Motion,pascal_per_second
WWW,Composante Z de la velocite de l''eau,Z Component of water velocity,meter_per_second
WX,Composante est de la houle,Eastward Swell Component,meter
WY,Composante nord de la houle,Northward Swell Component,meter
WZ,Hauteur des vagues (vent ou mer),Wind (or Sea) Wave Height,meter
X0,Fonction de stabilité en surface (z 0; beta),Stability Function at the Surface (z 0; beta),scalar
X1,Fonction de stabilité en surface (z za/2 approx. 20m),Stability Function at the Surface (z za/2 approx. 20m),scalar
XA,Âge de la neige en surface,Age of the Snow at Ground Level,hour
Y1,Increment de temperature pour I0 niveau 1,Temperature Increment for I0 level 1,celsius
Y2,Increment de temperature pour I0 niveau 2,Temperature Increment for I0 level 2,celsius
Y3,Increment d''humidite pour I1 niveau 1,Humidity Increment for I1 level 1,percent
Y4,Increment d''humidite pour I1 niveau 2,Humidity Increment for I1 level 2,percent
Y7,Corrélation du gradient topographique sous-maille selon x,Sub-mesh Topographic Gradient along X,scalar
Y8,Corrélation du gradient topographique sous-maille selon Y,Sub-mesh Topographic Gradient along Y,scalar
Y9,Corrélation du grad. topographique sous-maille selon XetY,Sub-mesh Topographic Gradient along X and Y,scalar
YA,Masque Terre/Mer sans Glacier,Land/Sea Mask without Glacier,percent
YB,Rejet pour cause de neige,Snow Rejects,percent
YC,Rejet pour cause de sol gele,Frozen Ground Rejects,percent
YD,Rejet pour cause de precipitation,Precipitation Rejects,percent
YE,Rejet pour cause de vent fort,Strong Wind Rejects,percent
YF,Rejet pour cause de manque d''insolation 1,Lacking Sunshine Rejects 1,percent
YG,Rejet pour cause de manque d''insolation 2,Lacking Sunshine Rejects 2,percent
YH,Erreur modele pour l''humidite,Humidity Model error,percent
YT,Erreur modele pour la temperature,Temperature Model error,celsius
Z0,Longueur de rugosité,Roughness Length,meter
ZA,Hauteur de l''anémometre premier niveau ETA,Anemometer Height 1st ETA level,meter
ZB,Longueur de rugosité,Roughness Length,meter
ZC,Angle zénithal du satellite au pixel GOES,Satellite Zenith Angle at GOES pixel,degree
ZD,Longeur d''echelle de dissipation,Length Scale of Dissipation,scalar
ZE,Longueur de rugosité (ECMWF),Roughness Length (ECMWF),meter
ZE3D,Reflectivite equivalent 3D,3D equivalent reflectivity,decibelsOfZ
ZEC,Reflectivite maximale equivalent 3D,Maximum equivalent reflectivity,decibelsOfZ
ZEL,hauteur du NE,EL height,meter
ZET,Reflectivite equivalente totale,Total equivalent reflectivity,decibelsOfZ
ZFC,hauteur du NCL,LFC height,meter
ZLCL,hauteur du NCA,LCL height,meter
ZN,Longueur de mélange de la turbulence,Turbulence Mixing Length,meter
ZP,Longueur de rugosité (CRESSMAN),Roughness Length (CRESSMAN),meter
ZR,Type de précipitations - pluie verglaçante,Precipitation Type - Freezing Rain,scalar
ZS,Angle zénithal du soleil au pixel GOES,Zenith Angle of the Sun at GOES Pixel,degree
ZV,Rugosité associée à la végétation (ECMWF),Roughness Length due to Vegetation (ECMWF),meter
ZVC,hauteur du NCL utilisant le temperature virtuelle,LFC height using virtual temperature,meter
ZVE,hauteur du NE utilisant le temperature virtuelle,EL height using virtual temperature,meter
ZZ,Mouvement vertical en coordonnée Z,Vertical Motion (Z Coordinate),meter_per_second
^^,Position verticale dans une Grille Y ou Z,Vertical position in a Y or Z grid,scalar
^>,Position horizontale dans une grille Y ou Z,Horizontal position in a Y or Z grid,scalar